gene	pval	dev_exp	fdr	significant	effect_size	regulation	pseudoDEG
10 - ZNF493	1.497685880014199e-05	0.7070523204663344	0.00018451972240170978	True	5.685263712474164	DOWN	False
15 - ANKDD1A	1.3148635966464539e-05	0.7088733870561565	0.00018451972240170978	True	5.693109656063102	DOWN	False
15 - ANKRD52	1.768280652014731e-05	0.6944107114959264	0.00018451972240170978	True	5.449359021407723	DOWN	False
10 - NXT2	1.395928895697729e-05	0.7168016316777144	0.00018451972240170978	True	5.951117990589804	DOWN	True
10 - LACC1	1.7644777349001828e-05	0.6965044712588003	0.00018451972240170978	True	5.510876383322332	DOWN	False
15 - ALS2CL	1.3646888350926645e-05	0.7097103369202771	0.00018451972240170978	True	5.737096650204195	DOWN	False
15 - APOBR	1.3593070909534433e-05	0.7126717298901268	0.00018451972240170978	True	5.814402405339381	DOWN	False
15 - ALDH18A1	1.9482736909548493e-05	0.6960042277388342	0.00018451972240170978	True	5.542659574834127	DOWN	False
15 - ARHGAP33	1.103027279691915e-05	0.7169006240009627	0.00018451972240170978	True	5.826294549755436	DOWN	False
15 - ARID3B	1.7254153603429856e-05	0.7156904851946806	0.00018451972240170978	True	5.9858194519956145	DOWN	True
15 - ACP2	1.2213249550696581e-05	0.7159914851129525	0.00018451972240170978	True	5.84401080492251	DOWN	False
15 - BASP1	1.3510820352391484e-05	0.7087285930053087	0.00018451972240170978	True	5.707820409770503	DOWN	False
15 - BBS9	1.7500371951917337e-05	0.6955467709893841	0.00018451972240170978	True	5.468503413542263	DOWN	False
15 - BIK	1.0551196067520863e-05	0.7269187385615004	0.00018451972240170978	True	6.0866156185576505	DOWN	True
15 - BRF1	1.1826630728628551e-05	0.7187867457784711	0.00018451972240170978	True	5.903669411430659	DOWN	True
15 - BTN2A2	1.296240327874898e-05	0.7147436535120928	0.00018451972240170978	True	5.846830341415221	DOWN	False
15 - C5orf30	1.1462142648355211e-05	0.7142575435550899	0.00018451972240170978	True	5.763590060110892	DOWN	False
15 - CAMK2N1	1.9885992534662833e-05	0.6955829737509156	0.00018451972240170978	True	5.530428484504642	DOWN	False
15 - CAMSAP2	1.1563357963373377e-05	0.7146757232694149	0.00018451972240170978	True	5.7851784975098735	DOWN	False
15 - CBR4	1.858838523993711e-05	0.7085492134004104	0.00018451972240170978	True	5.828899303484498	DOWN	False
15 - CCDC142	1.1234057649134321e-05	0.720209574198814	0.00018451972240170978	True	5.9269031956301035	DOWN	True
15 - CDA	1.5440468377980743e-05	0.703601704588382	0.00018451972240170978	True	5.6374587082626935	DOWN	False
15 - CDC42BPB	1.1708714552360888e-05	0.7154507048163137	0.00018451972240170978	True	5.805320357790621	DOWN	False
15 - CDCA7L	2.169017623443459e-05	0.6854952376034253	0.00018451972240170978	True	5.307046551777266	DOWN	False
18 - ASNS	1.4338395465496312e-05	0.7085343651492493	0.00018451972240170978	True	5.710650518287215	DOWN	False
18 - BMPR2	1.7935798865664765e-05	0.6952985323974898	0.00018451972240170978	True	5.472058392106723	DOWN	False
18 - C16orf45	1.1031542798689564e-05	0.7202926139867952	0.00018451972240170978	True	5.929457410978539	DOWN	True
18 - C3orf62	2.0373466765422066e-05	0.7052518149178468	0.00018451972240170978	True	5.811988409512282	DOWN	False
18 - C8orf58	9.992130778235797e-06	0.727596739105336	0.00018451972240170978	True	6.091583529712192	DOWN	True
18 - CARM1	1.8583806044136786e-05	0.6980228333991977	0.00018451972240170978	True	5.562686060001352	DOWN	False
18 - CD101	1.136132930934508e-05	0.7177013440338686	0.00018451972240170978	True	5.870571781168145	DOWN	True
18 - CDK8	1.2952625692230768e-05	0.7215626369119688	0.00018451972240170978	True	6.043409577734731	DOWN	True
18 - CEP128	2.007324250496989e-05	0.7041177780478258	0.00018451972240170978	True	5.776799314248118	DOWN	False
18 - CHAF1A	1.271552757842187e-05	0.7167077898301117	0.00018451972240170978	True	5.901859889476084	DOWN	True
18 - CHST10	1.3147906479216154e-05	0.7150154589320389	0.00018451972240170978	True	5.869125621696456	DOWN	False
18 - CISH	1.839427191085985e-05	0.7000134696044773	0.00018451972240170978	True	5.5988559668907625	DOWN	False
18 - CLYBL	1.2805290162676286e-05	0.7216399427898379	0.00018451972240170978	True	6.042110449709694	DOWN	True
18 - DENND3	1.8954145674654477e-05	0.6974796656569315	0.00018451972240170978	True	5.561438566448708	DOWN	False
18 - DVL3	2.0354133798528018e-05	0.7083163698431316	0.00018451972240170978	True	5.888256235326969	DOWN	True
18 - DYNC2LI1	1.5007936688404833e-05	0.6970168554390379	0.00018451972240170978	True	5.422666588511004	DOWN	False
18 - EPHA4	1.6732180688427967e-05	0.6938390880655284	0.00018451972240170978	True	5.395271769069804	DOWN	False
18 - FBXL4	1.8859876443233503e-05	0.6938848961695139	0.00018451972240170978	True	5.461727835910605	DOWN	False
18 - NAV1	1.161726239273797e-05	0.717294381396095	0.00018451972240170978	True	5.871891144166915	DOWN	True
18 - NBPF15	1.1407965559318e-05	0.7200857013358181	0.00018451972240170978	True	5.94323620479544	DOWN	True
18 - NDST2	1.1230720731614241e-05	0.7214707957774	0.00018451972240170978	True	5.97457421164693	DOWN	True
18 - NEIL2	1.697698439406814e-05	0.711646369784178	0.00018451972240170978	True	5.896401376923539	DOWN	True
18 - GHDC	1.9045067072398503e-05	0.6997300317491664	0.00018451972240170978	True	5.616095192923063	DOWN	False
18 - GLE1	1.1618419059167273e-05	0.726439249715794	0.00018451972240170978	True	6.129425878390251	DOWN	True
18 - GPRASP1	1.1094571736647296e-05	0.7220189176098171	0.00018451972240170978	True	5.983513693199498	DOWN	True
18 - IMMP2L	1.2716593193018433e-05	0.7230934530977182	0.00018451972240170978	True	6.075990075265261	DOWN	True
18 - ITPK1	1.4962665119577778e-05	0.7203980535605232	0.00018451972240170978	True	6.073398848117737	DOWN	True
18 - ITPRIPL1	2.1443461785675133e-05	0.6921899022598542	0.00018451972240170978	True	5.483328091591054	DOWN	False
18 - KDM8	1.1474789240684125e-05	0.7181857454425178	0.00018451972240170978	True	5.891557169391039	DOWN	True
18 - KIAA0391	1.1296828849705065e-05	0.718762616004385	0.00018451972240170978	True	5.898345991452321	DOWN	True
18 - KLHL12	1.3104254819262806e-05	0.7225586342127166	0.00018451972240170978	True	6.074177359935359	DOWN	True
15 - CENPQ	9.790139752219318e-06	0.7326748092645359	0.00018451972240170978	True	6.216372520823558	DOWN	True
15 - CEP162	1.6294164066343875e-05	0.7094443841249978	0.00018451972240170978	True	5.8093362980532275	DOWN	False
15 - CFAP44	1.7853857705252274e-05	0.6986683845815602	0.00018451972240170978	True	5.57331363052756	DOWN	False
15 - CHIC1	2.1493708533992795e-05	0.7030636788460656	0.00018451972240170978	True	5.769841047804553	DOWN	False
15 - CLCN7	1.618379678880455e-05	0.7149373841188482	0.00018451972240170978	True	5.944129456091703	DOWN	True
15 - CNNM4	1.1873800069950313e-05	0.7151561970554128	0.00018451972240170978	True	5.819447938227072	DOWN	False
15 - CORO2A	1.0309754535087201e-05	0.7237570467022829	0.00018451972240170978	True	5.977319201094939	DOWN	True
15 - CREG1	2.0116247990142888e-05	0.7075607434606773	0.00018451972240170978	True	5.837507592602493	DOWN	False
15 - CYP2R1	1.6767811293671997e-05	0.7179975336693751	0.00018451972240170978	True	6.035368306033854	DOWN	True
18 - YY2	1.0731914693806743e-05	0.7202391623507984	0.00018451972240170978	True	5.913370912371844	DOWN	True
18 - ZBTB34	1.0507314342045326e-05	0.721564626631882	0.00018451972240170978	True	5.940838233567685	DOWN	True
18 - ZCCHC18	1.0582638568457092e-05	0.7231752757270171	0.00018451972240170978	True	5.989633373430588	DOWN	True
18 - ZCCHC3	2.1702388536715134e-05	0.7035276884003361	0.00018451972240170978	True	5.770477415126905	DOWN	False
18 - ZNF25	1.0397311229426442e-05	0.725988124358147	0.00018451972240170978	True	6.0661301378350485	DOWN	True
18 - ZNF333	1.714962744336912e-05	0.6983651315508589	0.00018451972240170978	True	5.527938322774001	DOWN	False
18 - ZNF470	1.4509201127776983e-05	0.6964331806493148	0.00018451972240170978	True	5.385475734386823	DOWN	False
18 - ZNF484	1.5069670856848738e-05	0.7115646067319925	0.00018451972240170978	True	5.842832130842874	DOWN	False
18 - PPP2R5D	2.0740372767114046e-05	0.7004163501126466	0.00018451972240170978	True	5.697366785559192	DOWN	False
18 - PRKCZ	1.6404810171621875e-05	0.7174637975210276	0.00018451972240170978	True	6.034654573988393	DOWN	True
18 - PROK2	1.6771624777534022e-05	0.7162017752712194	0.00018451972240170978	True	6.004739081478008	DOWN	True
18 - LMLN	1.2073612108531862e-05	0.7143839308750728	0.00018451972240170978	True	5.807761370138148	DOWN	False
18 - LRRC41	1.8123877424947032e-05	0.7128139077092577	0.00018451972240170978	True	5.9565422091282105	DOWN	True
18 - LTC4S	1.3910544153450388e-05	0.7147003943122774	0.00018451972240170978	True	5.886854138415933	DOWN	True
18 - MAGEE1	1.648187702085746e-05	0.6944296112397244	0.00018451972240170978	True	5.400731039594144	DOWN	False
18 - MAP3K14	1.2446142001132365e-05	0.727706069795435	0.00018451972240170978	True	6.192954526797301	DOWN	True
18 - MDP1	1.1147342236728086e-05	0.7213931741370986	0.00018451972240170978	True	5.969219374618391	DOWN	True
18 - MED18	1.075439402753453e-05	0.7234800517267359	0.00018451972240170978	True	6.0091410763167925	DOWN	True
18 - METTL22	1.7210269775636e-05	0.6903418197464986	0.00018451972240170978	True	5.318767361615529	DOWN	False
18 - MICALL1	1.7300252626362145e-05	0.6937736416703295	0.00018451972240170978	True	5.4108183542706385	DOWN	False
18 - MLH3	2.0892145020878772e-05	0.7075604058634992	0.00018451972240170978	True	5.878571288698239	DOWN	True
18 - MOV10	1.7782743688465885e-05	0.7081883202221934	0.00018451972240170978	True	5.831664105086008	DOWN	False
