resolution,cca_score,p_value,corrected_pvalue,pass,n_clusters,n_samples,n_pcs_used,pc_indices_used
0.1,0.4471841547730882,0.081,0.335,coarse,2,24,2,"(0, 1)"
0.18,0.1562995089912608,0.758,0.999,fine,5,24,2,"(0, 1)"
0.19,0.1797935403853048,0.686,0.996,fine,6,24,2,"(0, 1)"
0.2,0.46053364194562546,0.076,0.306,coarse,5,24,2,"(0, 1)"
0.21,0.20921779210586947,0.594,0.991,fine,6,24,2,"(0, 1)"
0.22,0.45855031547334685,0.075,0.311,fine,5,24,2,"(0, 1)"
0.3,0.1395302522701759,0.805,1.0,coarse,7,24,2,"(0, 1)"
0.4,0.15182641345173267,0.759,1.0,coarse,8,24,2,"(0, 1)"
0.5,0.15876528982016877,0.757,0.999,coarse,9,24,2,"(0, 1)"
0.6,0.23424487860245546,0.523,0.982,coarse,10,24,2,"(0, 1)"
0.7,0.177728697193982,0.697,0.996,coarse,10,24,2,"(0, 1)"
0.8,0.2783148348330399,0.408,0.909,coarse,11,24,2,"(0, 1)"
0.9,0.11776942576015187,0.846,1.0,coarse,12,24,2,"(0, 1)"
1.0,0.27703095544291356,0.433,0.912,coarse,14,24,2,"(0, 1)"
